id,Cod IBGE,UF,Município,População Estimada - 2017
1219,2413805,RN,TABOLEIRO GRANDE,2566
1220,2413904,RN,TAIPU,12428
1221,2414001,RN,TANGARÁ,15866
1222,2414100,RN,TENENTE ANANIAS,10814
1223,2414159,RN,TENENTE LAURENTINO CRUZ,5912
1224,2411056,RN,TIBAU,4100
1225,2414308,RN,TIMBAÚBA DOS BATISTAS,2437
1226,2414407,RN,TOUROS,34043
1227,2414456,RN,TRIUNFO POTIGUAR,3327
1228,2414506,RN,UMARIZAL,10781
1229,2414605,RN,UPANEMA,14609
1230,2414704,RN,VÁRZEA,5554
1231,2414753,RN,VENHA-VER,4187
1232,2414803,RN,VERA CRUZ,12371
1233,2414902,RN,VIÇOSA,1731
1234,2800100,SE,AMPARO DE SÃO FRANCISCO,2390
1235,2800209,SE,AQUIDABÃ,21589
1236,2801108,SE,CANHOBA,4058
1237,2801207,SE,CANINDÉ DE SÃO FRANCISCO,29372
1238,2801405,SE,CARIRA,21842
1239,2801603,SE,CEDRO DE SÃO JOÃO,5933
1240,2801900,SE,CUMBE,4012
1241,2802205,SE,FEIRA NOVA,5616
1242,2802304,SE,FREI PAULO,15349
1243,2802403,SE,GARARU,11736
1244,2802601,SE,GRACHO CARDOSO,5870
1245,2803104,SE,ITABI,4988
1246,2803708,SE,MACAMBIRA,6920
1247,2804201,SE,MONTE ALEGRE DE SERGIPE,15177
1248,2804458,SE,NOSSA SENHORA APARECIDA,8869
1249,2804508,SE,NOSSA SENHORA DA GLÓRIA,36613
1250,2804607,SE,NOSSA SENHORA DAS DORES,26624
1251,2804706,SE,NOSSA SENHORA DE LOURDES,6530
1252,2805000,SE,PEDRA MOLE,3254
1253,2805208,SE,PINHÃO,6556
1254,2805406,SE,POÇO REDONDO,34529
1255,2805505,SE,POÇO VERDE,23740
1256,2805604,SE,PORTO DA FOLHA,28735
1257,2805703,SE,PROPRIÁ,29834
1258,2806008,SE,RIBEIRÓPOLIS,18641
1259,2807006,SE,SÃO MIGUEL DO ALEIXO,3943
1260,2807105,SE,SIMÃO DIAS,40838
1261,2807303,SE,TELHA,3221
1262,2807402,SE,TOBIAS BARRETO,52156
